Wall time,Step,Value
1774700774.671403,468,0.9589169025421143
1774700777.65444,937,0.959933340549469
1774700780.4846542,1406,0.9602567553520203
1774700783.059285,1875,0.9605822563171387
1774700785.7245681,2344,0.9608621597290039
1774700788.4041789,2813,0.9612396955490112
1774700790.941049,3282,0.9617704153060913
1774700793.606818,3751,0.961978018283844
1774700796.262039,4220,0.9621844291687012
1774700798.93083,4689,0.9622741937637329
1774700801.451814,5158,0.9624271392822266
1774700804.108924,5627,0.962565004825592
1774700806.758122,6096,0.9626160860061646
1774700809.43166,6565,0.9626501202583313
1774700811.9389172,7034,0.9626929759979248
1774700814.608355,7503,0.9628490209579468
1774700817.4870772,7972,0.9628006219863892
1774700820.2584782,8441,0.9629332423210144
1774700823.042331,8910,0.9629700183868408
1774700825.747941,9379,0.9630085825920105
1774700828.453632,9848,0.9630122184753418
1774700831.048457,10317,0.9630393385887146
1774700833.736361,10786,0.9631196856498718
1774700836.403414,11255,0.9631702899932861
1774700839.231574,11724,0.9631357789039612
1774700841.919306,12193,0.9631243348121643
1774700844.615329,12662,0.9631827473640442
1774700847.261129,13131,0.9631827473640442
1774700850.088932,13600,0.9631587862968445
1774700852.6270258,14069,0.9631927013397217
